,Sentiment,tweet,date,Polarity
0,0,"glad to know my family bought tons of gluten food for the birthday party, and i can't eat it.",Sat May 02 06:26:48 PDT 2009,Negative
1,0,@pornlaw damn u on the grill when i'm in vegas. i luv grilled food.,Sun May 17 10:49:49 PDT 2009,Negative
2,0,tofu too healthy... searching through the cupboards for dirty food.. finding nothing,Mon May 18 03:17:33 PDT 2009,Negative
3,0,looking for food at home!.... nothing,Fri May 29 12:28:39 PDT 2009,Negative
4,0,watching something on food network with corey. whatever shall i do until thursday?,Sat May 30 16:50:48 PDT 2009,Negative
5,0,http://twitpic.com/6qijw - grabbing some early fast food breakfast. mom is sad i am leaving.,Sat Jun 06 03:57:05 PDT 2009,Negative
6,0,my tummy hurts... too much junkk food!!!,Sun Jun 07 18:30:39 PDT 2009,Negative
7,0,ever had that feeling where your hot and cold at the same time ur body is aching from head to toe u can't keep ur food down..yaa i'm sick,Mon Jun 15 17:02:33 PDT 2009,Negative
8,0,"wants to eat, but noah has no food here!",Mon Jun 15 19:30:04 PDT 2009,Negative
9,0,@jenyourfantasy ooooo helllllll man jen my fuckin mouth hurt i can barely eat and u know how i am about food,Tue Jun 16 17:05:51 PDT 2009,Negative
10,0,"oh speaking of food, i decided to have a yodel today and it sucked. remembered it being so good, but yucky.  disappointing.",Tue Jun 16 17:29:04 PDT 2009,Negative
11,0,@zadi foodporn... ooooh...  you tease,Wed Jun 17 14:37:19 PDT 2009,Negative
12,0,damn im watchin man vs food and theyre in my hometown chicago showin an italian beef sandwich damn i miss home!!  dallas food sucks,Wed Jun 17 18:35:21 PDT 2009,Negative
13,0,my house is foodless! all i've got to eat is a peanut &amp; chocolate cereal bar. i hate peanuts  . but i love chocolate! how cruel.,Fri Jun 19 05:35:33 PDT 2009,Negative
14,0,"have flat to myself. what shall i do? oh look, lots of studying to catch up on  but first, food.",Sat Jun 20 11:29:43 PDT 2009,Negative
15,0,really craving hot food,Sat Jun 20 21:54:41 PDT 2009,Negative
