column1,column2,column3,column4,column5,column6
0,1678358130,Sat May 02 06:26:48 PDT 2009,NO_QUERY,kconnxx,"glad to know my family bought tons of gluten food for the birthday party, and i can't eat it."
0,1827494225,Sun May 17 10:49:49 PDT 2009,NO_QUERY,MarieLuv,@pornlaw damn u on the grill when i'm in vegas. i luv grilled food.
0,1834532048,Mon May 18 03:17:33 PDT 2009,NO_QUERY,angelynewolfe,tofu too healthy... searching through the cupboards for dirty food.. finding nothing
0,1963275395,Fri May 29 12:28:39 PDT 2009,NO_QUERY,UlyssesAR,looking for food at home!.... nothing
0,1976218621,Sat May 30 16:50:48 PDT 2009,NO_QUERY,Kelsayy237,watching something on food network with corey. whatever shall i do until thursday?
0,2053273421,Sat Jun 06 03:57:05 PDT 2009,NO_QUERY,cathicks,http://twitpic.com/6qijw - grabbing some early fast food breakfast. mom is sad i am leaving.
0,2070911491,Sun Jun 07 18:30:39 PDT 2009,NO_QUERY,samb2004,my tummy hurts... too much junkk food!!!
0,"",Mon Jun 15 17:02:33 PDT 2009,NO_QUERY,tweettweetkc,ever had that feeling where your hot and cold at the same time ur body is aching from head to toe u can't keep ur food down..yaa i'm sick
0,"",Mon Jun 15 19:30:04 PDT 2009,NO_QUERY,lil_christine,"wants to eat, but noah has no food here!"
0,"",Tue Jun 16 17:05:51 PDT 2009,NO_QUERY,StarcOurtneyyy,@jenyourfantasy ooooo helllllll man jen my fuckin mouth hurt i can barely eat and u know how i am about food
0,"",Tue Jun 16 17:29:04 PDT 2009,NO_QUERY,successorstate,"oh speaking of food, i decided to have a yodel today and it sucked. remembered it being so good, but yucky.  disappointing."
0,"",Wed Jun 17 14:37:19 PDT 2009,NO_QUERY,B_Mack2020,@zadi foodporn... ooooh...  you tease
0,"",Wed Jun 17 18:35:21 PDT 2009,NO_QUERY,evelinamonroe,damn im watchin man vs food and theyre in my hometown chicago showin an italian beef sandwich damn i miss home!!  dallas food sucks
0,"",Fri Jun 19 05:35:33 PDT 2009,NO_QUERY,ClaireRx,my house is foodless! all i've got to eat is a peanut &amp; chocolate cereal bar. i hate peanuts  . but i love chocolate! how cruel.
0,"",Sat Jun 20 11:29:43 PDT 2009,NO_QUERY,Alecmonty,"have flat to myself. what shall i do? oh look, lots of studying to catch up on  but first, food."
0,"",Sat Jun 20 21:54:41 PDT 2009,NO_QUERY,malcolli,really craving hot food
0,"",Mon Jun 22 14:32:00 PDT 2009,NO_QUERY,xhorrorkittenx,ate way too much mexican food i think i've ruined 2 weeks worth of good work
0,"",Thu Jun 25 02:41:01 PDT 2009,NO_QUERY,felix_edgewood,"still has a sore throat, but i want to go get some random food in a-town, but i can't find anybody to go with me   hello, hot pockets!"
0,1468599110,Tue Apr 07 02:38:50 PDT 2009,NO_QUERY,Aashrey,where is my phone &amp; good foods? aaaaaaaaah
0,1556511941,Sat Apr 18 23:07:49 PDT 2009,NO_QUERY,2naiikOO,"getting kicked off the comp by the girl who always liks my food,  im out"
0,1880071927,Fri May 22 00:00:43 PDT 2009,NO_QUERY,cloverdash,"@leannenufc oooh i wish! the boys were munching bacon butties yesterday &amp; stinking the house out with gorge food smells, the meanies"
0,1989564280,Mon Jun 01 02:00:22 PDT 2009,NO_QUERY,erickajonasbby,i miss my kitty; i dont even want to go home because i wont have my cuddle buddy anymore  no more sneaking her food. sigh im sad
0,1990569423,Mon Jun 01 05:12:42 PDT 2009,NO_QUERY,leaisonfiyerrr,photo: iattackfood: i want this jacket. seriously. kahit yung fake sa greenhills.  http://tumblr.com/xlr1x6vyv
0,1992432574,Mon Jun 01 08:44:39 PDT 2009,NO_QUERY,Ricadym3diva,omg bellllyyy shoutin at sum food.. brb soooo starving it ain't a joke
0,2009679752,Tue Jun 02 16:05:48 PDT 2009,NO_QUERY,ShanMichele,food still cooking...looking &amp;&amp; smelling good..but i don't feel good so i guess i'll eat later
0,2013586866,Tue Jun 02 23:02:42 PDT 2009,NO_QUERY,HugoS21,someone feed me some food pls
0,2054172615,Sat Jun 06 06:44:23 PDT 2009,NO_QUERY,IrishItalia,"food poisoning is miserable, dude. and it's alex's last day in town for a week"
0,2065229220,Sun Jun 07 08:09:59 PDT 2009,NO_QUERY,AbbieluvsPTV,cleaning today.  looking for a job. but i don't want to work at a fast food place. any suggestions?
0,"",Tue Jun 16 13:04:21 PDT 2009,NO_QUERY,michiemadison,"no sushi...   just 1/2 chicken sandwich, 1/2 grapefruit, 1/2 my leftover muffin.  better than no food!  : d"
0,"",Tue Jun 16 17:38:11 PDT 2009,NO_QUERY,AshleySalaz,chinese food was a bad choice! my stomach is killing me
0,"",Thu Jun 18 09:35:37 PDT 2009,NO_QUERY,aamwilliams,i haven't  got any food in and have a new credit card being sent to me so i can't take any money out for a take away.  i might die.
0,"",Thu Jun 18 13:12:45 PDT 2009,NO_QUERY,christinexjoyy,my car smells like food &amp; wet assss
0,"",Thu Jun 18 20:01:05 PDT 2009,NO_QUERY,goldas,if i was in a relationship right now i'd call him up and ask him to bring me some food...my stomach hurts
0,"",Sat Jun 20 06:12:26 PDT 2009,NO_QUERY,mcogdill,"@italianrecipe hope i can modify your recipes. my kid as a potentially fatal food allergy to garlic, all beans.  thnx for following!"
0,"",Sat Jun 20 11:20:36 PDT 2009,NO_QUERY,dovely,beat day ever for 160+ people to come over for bbq!!! i'm in bergen co w/ mira bc she's a stupid bitch around strangers &amp; food. sadsadsad
0,"",Mon Jun 22 13:40:10 PDT 2009,NO_QUERY,christy_taylor,stomach flu or food posioning... either way its no fun
4,1469314276,Tue Apr 07 05:59:12 PDT 2009,NO_QUERY,janbaumgartner,@loumanna just ordered your digital food photography book after being inspired by your talk at hallmark!
0,1557382182,Sun Apr 19 03:46:15 PDT 2009,NO_QUERY,NinaPoli,"has to go food shopping today. how boring, then back tro work tomorrow"
0,1753882751,Sun May 10 03:56:45 PDT 2009,NO_QUERY,sweetiebird,"since i am up already, gonna get some shit done around the house. i have fast food hangover."
0,1759188215,Sun May 10 18:39:35 PDT 2009,NO_QUERY,JackieG1105,"just had awesome peruvian food w the fam, but now i reak like it ew"
0,1770951168,Mon May 11 22:43:25 PDT 2009,NO_QUERY,walk_the_walk,no pop- check! wise food choices-half check! jog- no check   ...hopefully tomorrow's goal will be better!
0,1880402376,Fri May 22 01:06:46 PDT 2009,NO_QUERY,jspanger,done with food shopping now off to ikea
0,1956416445,Thu May 28 21:50:00 PDT 2009,NO_QUERY,LYNETTE21XL,foods taking forever &amp; a day. not cute.
